Codice_Fiscale,Nome,Cognome,Via,Numero_Civico,CAP,Provincia,Data_Nascita,Email,Telefono,Vendita,Noleggio
PHZXFC59G30G609X,Kaitlynn,Yerlett,Sherman,119,02690,DI,1994-02-05,kyerlett3i@tripadvisor.com,226-509-3825,0,1
PJQKOH05A29Q376V,Tonie,Alliban,Roth,77,68655,EV,1997-06-25,talliban2p@bbc.co.uk,919-537-3225,1,0
PJTQVI42U39F924P,Roanna,Sillars,"Golf View",198,15048,CU,1987-07-21,rsillarsba@ucla.edu,858-847-3943,1,1
PMZCJF65P13O955Y,Tirrell,Meaden,Hazelcrest,7,32806,LM,1985-10-07,tmeaden24@parallels.com,523-426-3521,1,0
PQCNTE95X23D641X,Tan,Birbeck,Claremont,100,80028,EN,1980-08-23,tbirbeck2b@bloglines.com,416-213-0313,0,0
PQDADB31C43A759F,Tommi,"Van de Vlies","John Wall",172,14256,KH,1954-07-11,tvandevliesd2@nasa.gov,630-753-4506,0,1
PQKTMT95S16Q895M,Bryn,Yardy,"Clyde Gallagher",159,34192,AO,1974-08-10,byardyaq@jalbum.net,338-240-8338,0,1
PRIUNU55T10P633G,Sofia,Shrubb,Kennedy,55,69053,YI,1978-03-12,sshrubb4h@slideshare.net,275-744-2873,0,1
PRNQQS94T77N371B,Nelie,Brame,Lerdahl,128,53551,FJ,1956-06-28,nbramehd@trellian.com,223-510-6252,1,0
PTQVBM41C96L945Z,Goldie,Domerq,Spohn,12,05643,BP,1955-10-04,gdomerqcc@ezinearticles.com,548-589-7168,0,1
PTVOLQ81R63Q868U,Wilow,Hawke,Debs,40,85368,JW,1966-05-18,whawkebt@purevolume.com,231-680-8095,0,1
PUFMAQ18Q60C969U,Clarita,Seabrooke,East,7,01201,YD,1962-04-19,cseabrooke4d@linkedin.com,767-759-6065,1,0
PUSPBO99P93P150T,Kym,Pettiward,"Meadow Vale",153,06489,AD,1995-11-14,kpettiward0@skype.com,777-794-1321,0,0
PVWTOM06S63Y755D,Winfred,Card,Dayton,71,66570,AV,1989-11-20,wcard5n@networkadvertising.org,318-816-2892,0,1
PVWWTN70R21H530V,Fidela,Rozsa,Barnett,69,34769,FY,1953-10-18,frozsa5r@geocities.jp,613-172-0285,1,0
PVYVBS90X82O474K,Frasier,Hazelhurst,"Crescent Oaks",77,81434,QQ,1968-10-02,fhazelhursto@clickbank.net,109-394-8774,0,0
PWVNFA84L87H456N,Leonie,Chatfield,Stoughton,108,62500,BU,1996-06-10,lchatfieldes@gravatar.com,106-264-0116,0,1
PXHVMC72N67J929R,Michale,Hastilow,Washington,137,99383,WB,1953-12-30,mhastilow47@economist.com,668-354-9630,1,1
PXUNTW02I00G226N,Timmie,Dunrige,Pleasure,71,37819,TS,1985-06-10,tdunrige5h@guardian.co.uk,579-301-8096,0,0
PZXGEE19W85R063I,Sebastiano,Stoggell,Hagan,69,66786,XO,1961-04-21,sstoggellem@loc.gov,337-345-2832,1,1
QDHHHI76T56Y626S,Nevins,Maltby,Brown,131,68733,HG,1982-05-31,nmaltby99@php.net,426-423-0096,0,1
QDVAQP17S71Z672R,Linc,Aldiss,Nova,74,05935,ZX,1974-07-06,laldiss3b@ca.gov,486-184-2075,0,0
QDVRDB36T13B101K,Eilis,Faux,Redwing,54,84027,UJ,1971-05-28,efaux8p@shop-pro.jp,392-609-0925,1,1
QEFFZC20W06U053I,Tripp,Backes,Elka,173,35408,ZK,1984-10-25,tbackes37@wikipedia.org,602-667-5423,1,0
QFPHYU51T95A398C,Ellis,Rudall,Corry,142,83894,MB,1950-06-22,erudallfh@naver.com,914-203-4603,0,0
QGVZVJ67E81R347X,Olly,Palleske,Buhler,81,17503,WW,1962-05-09,opalleske6r@sourceforge.net,369-358-8956,0,1
QGXFFF36B52K805H,Weber,Giacobo,Carpenter,80,08297,US,1999-06-19,wgiacobo7k@t.co,415-765-4464,0,0
QHQNGC21C82O133G,Maridel,Lilly,"Maple Wood",75,19083,RO,1982-02-27,mlilly7d@linkedin.com,926-798-1505,1,0
QKMGNG24P69G852U,Angil,Lea,Hazelcrest,125,67341,CN,1959-04-30,alea2d@diigo.com,839-339-3773,0,1
QLFGBG14D97K963Z,Sollie,Mapplebeck,Bultman,79,90292,CU,1995-01-18,smapplebeckc@upenn.edu,843-355-4291,1,1
QLHLJR90I91Y802G,Sydney,Sparry,"Crescent Oaks",56,65554,KO,1976-07-18,ssparryel@cmu.edu,699-851-9404,1,1
QMDCRO88H30O465I,Hastings,Tsarovic,Northland,194,69233,IN,1996-10-01,htsarovica7@google.cn,568-484-6885,1,0
QNNWOP03R38H444V,Mead,Balentyne,Farmco,70,64001,XH,1999-08-04,mbalentyneb0@harvard.edu,787-435-5011,1,1
QOENEG62C75W379B,Patricia,Norewood,Myrtle,114,92601,PV,1974-06-22,pnorewood30@vinaora.com,894-409-3882,0,0
QSWUSY71S05C168H,Denny,Riddoch,Cherokee,183,56882,SO,1985-04-12,driddocheb@blogger.com,559-566-3542,1,1
QTMJOS21L55C778J,Kellina,Cund,Luster,193,02181,VG,1993-01-24,kcundfb@ezinearticles.com,471-702-3622,0,1
QUIUTN54N72M832J,Irv,Kiraly,Corscot,87,49635,EI,1971-05-10,ikiraly3e@geocities.jp,787-551-5764,1,0
QULKZV91J07J309R,Clare,Bushen,East,116,21391,DK,1980-09-30,cbushen1d@marriott.com,459-376-9584,0,0
QVCUTI08T01B304F,Josey,Wohlers,Bultman,139,51145,MY,1969-06-09,jwohlers6m@answers.com,644-783-5986,0,0
QVMJUA99S13K993X,Elysha,Caddick,Homewood,127,96067,YW,1984-08-25,ecaddickz@princeton.edu,612-484-6811,1,0
QVPIMX18Y61Y433R,Ernesto,Rouch,Clove,22,92433,SQ,1957-04-20,eroucha8@cdbaby.com,111-875-7234,1,0
QYDKBO24F43L414S,Luke,Rheubottom,Anhalt,183,36480,TG,1982-01-02,lrheubottomgo@about.com,643-317-1886,1,1
QZFYVB28V57C136I,Valle,Fice,Novick,182,43612,QG,1966-04-08,vfice6j@networksolutions.com,639-179-3912,0,0
RAMKJU29J30N703K,Angelico,McKevin,Sloan,160,01774,SC,1959-01-20,amckevinh1@people.com.cn,472-580-5020,0,0
RARJPS09X74W370I,Blancha,Renwick,Hayes,114,50786,LQ,1951-04-12,brenwick8x@google.ca,508-443-8670,1,1
RCKEZK69Q49V464N,Stafford,Dillintone,Arizona,43,89305,FD,1984-08-05,sdillintone6w@typepad.com,315-704-0236,0,1
RDEBGZ87Q16Y538B,Amalea,Bolwell,"Red Cloud",66,52542,CU,1965-10-09,abolwell69@walmart.com,382-585-9914,0,1
RDMNCX66H70O123E,Ag,Bourdis,Cherokee,171,85783,LT,1951-03-25,abourdiseg@printfriendly.com,315-516-0239,0,0
RFOPIM00M55G831P,Kipper,Aim,Coleman,58,19868,PP,1961-12-24,kaimav@google.co.jp,842-611-0168,0,1
RGFIXV77C92K763N,Willem,Noir,Oriole,124,61559,YU,1986-04-28,wnoira1@msn.com,254-681-6956,1,1
RJGQUF02B72R672F,Jermain,Teeney,Bonner,90,94106,UV,1973-03-27,jteeney5i@php.net,655-710-5436,0,0
RNCVFW69M72H227R,Tremain,Geerling,"Doe Crossing",36,74097,GI,1952-03-06,tgeerling5q@state.gov,372-488-6640,1,1
RNOKRN43U30X018N,Brenden,Arrowsmith,Moland,167,70485,IO,1963-01-26,barrowsmithce@google.co.jp,870-740-0808,1,1
ROQXHW85N33G063M,Leontine,Raffeorty,Scoville,28,03674,CZ,1986-10-30,lraffeorty12@gizmodo.com,421-659-3043,1,0
RRDHMI66V34Z928A,Erna,Whellans,Hoffman,155,03494,FT,1994-02-05,ewhellansgs@examiner.com,663-486-1419,0,0
RSKYMP19X99L356F,Fanchette,Pettigree,Golf,56,77906,RH,1979-06-13,fpettigree4c@topsy.com,550-618-0061,1,0
RSWGTN80K34P488Q,Sargent,Benedikt,"Eagle Crest",176,83782,CX,1954-07-14,sbenediktdq@rambler.ru,599-273-0435,0,1
RTXMLP84W56D464V,Lynn,Schimpke,Loftsgordon,37,37396,GQ,1964-03-09,lschimpkeeq@kickstarter.com,776-131-5312,1,1
RTXOVR70N53W898R,Kip,Zamudio,Prentice,116,53245,IW,1962-06-04,kzamudio7c@seattletimes.com,271-879-9553,0,0
RVFUXN76S65L655Y,Guinevere,Hacard,Riverside,126,88168,QM,1976-02-08,ghacard9o@rediff.com,190-315-1010,1,0
RVGOCJ57S02H484M,Alvy,Deluce,Ohio,28,85319,BF,1958-07-13,adelucee1@istockphoto.com,889-192-6159,0,0
RWEEKV49K52Z769H,Alfi,Duckett,Kedzie,112,88854,QU,1966-03-07,aduckettey@wunderground.com,236-782-2677,0,0
RWXAHS16Q69C607E,Wilow,Kunzel,Lawn,189,72449,DS,1970-01-16,wkunzel9c@jiathis.com,152-544-8820,1,0
RZCUNR76K90W458Y,Jaquenetta,Petley,"Charing Cross",16,29578,MY,1993-05-09,jpetley44@bigcartel.com,707-903-4599,1,1
SAYTEQ62R48Z515I,Natka,Worsham,Sloan,38,35054,UZ,1997-06-14,nworshamd5@bigcartel.com,669-400-3719,1,0
SBAUEH59M12P739I,Vasili,Jaeggi,Elgar,38,56054,GH,1980-01-23,vjaeggieo@youtube.com,119-984-1374,1,0
SEXKBX26F61P750T,Brunhilde,Swedeland,"Village Green",39,46298,NA,1994-12-23,bswedelandbz@drupal.org,587-897-1895,0,0
SGAXVJ37U31W529G,Maddi,Mattisssen,International,127,12532,NF,1985-11-22,mmattisssen5z@addtoany.com,923-676-7362,1,1
SGIJKK86Q13Q093Y,Delinda,Hakonsen,"Golden Leaf",18,34778,GX,1994-04-10,dhakonsenhf@infoseek.co.jp,933-933-8632,0,1
SJBGTR85H08I440A,Lian,Rigate,Lakewood,170,97708,KV,1995-10-24,lrigate6t@weibo.com,857-835-0974,0,1
SMBLOL28X71T216Y,Addia,Stearne,Warrior,102,09622,LT,1962-02-28,astearne6y@rakuten.co.jp,248-898-7757,0,0
SMCGRU10E98T436X,Lauri,Plastow,Redwing,71,37021,CB,1971-09-24,lplastow4j@opensource.org,301-669-4814,1,1
SMLSWC04M11U415R,Krispin,Pawelczyk,Colorado,163,06838,VT,1982-05-30,kpawelczyk7z@cnet.com,758-477-0593,0,0
SPOOSN31S42F385X,Randee,McCarle,"Hollow Ridge",99,33196,PC,1987-06-09,rmccarleah@elpais.com,645-352-5532,0,0
SSNTET86V60Q854J,Nickie,Mingus,Melby,86,84318,JF,1962-06-22,nmingus6i@mtv.com,452-661-0904,1,0
SSNURZ92T99H278W,Willis,Chastaing,Oak,7,49853,GP,1996-06-26,wchastaingez@bloglines.com,768-519-1138,0,1
SSVHNK92X74Y676V,Edi,Coombs,Sunnyside,161,21164,KC,1971-07-24,ecoombs7w@state.gov,876-156-9096,1,0
STCIBL40F07P793Z,Gabi,Torrisi,Bartillon,154,88415,HF,1973-03-13,gtorrisih3@gizmodo.com,621-968-5876,0,1
SUSVGO64J87A639T,Curt,Ebbin,Dawn,66,12435,WV,1990-09-27,cebbinhh@google.cn,528-775-9921,1,1
SXELZL26N68M016F,Fredi,Kelledy,"Green Ridge",132,14722,WO,1963-01-03,fkelledy9d@istockphoto.com,677-955-0463,1,0
SXILJP29J68K387X,Ham,Dowers,Anniversary,135,59992,UK,1973-05-05,hdowers9i@usda.gov,665-997-8791,0,0
SXLCUZ25N58A998F,Vernice,Redit,Wayridge,16,14091,IH,1971-09-16,vredit2v@umich.edu,806-540-2833,0,0
SXQPPS30C79D088A,Hamish,Hadgraft,8th,92,55131,LU,1966-03-27,hhadgraftas@ucoz.com,226-195-6448,1,0
SXWOIG54G61C100S,Dukie,Giacomelli,Lillian,120,04847,HU,1975-03-21,dgiacomelli64@xing.com,884-790-8445,1,0
SYASOT83C73T570I,Scotti,"De Bernardis",Alpine,172,97442,GW,1966-11-28,sdebernardisej@vistaprint.com,598-327-9873,0,1
SYQFES47S49E221E,Shannen,McIan,Rusk,156,42218,ZA,1961-02-11,smciandl@usatoday.com,661-153-1479,1,1
SZEDZP56T60P822U,Alie,Rable,Longview,172,91094,FC,1959-03-21,arable2s@cocolog-nifty.com,640-745-0677,0,1
SZNRQO74E09U002G,Kipp,Green,Warbler,18,78767,IQ,1960-12-27,kgreen29@scientificamerican.com,149-657-7273,1,1
SZZVBR22L52C335O,Tedd,Stuchbury,"Meadow Valley",41,31190,QB,1970-11-12,tstuchburyft@odnoklassniki.ru,417-799-7624,1,0
TAJZDS37Y76W010G,Ricki,Soff,Pawling,66,65278,AG,1955-08-17,rsoff50@marriott.com,507-782-6182,0,1
TAVHRV75W12R269L,Guglielmo,Jenny,Russell,180,09319,PF,1968-08-16,gjennyb@google.nl,455-690-1531,0,0
TBEBAP55P08P773A,Cilka,Ginglell,Grayhawk,46,52042,PE,1958-07-01,cginglelli@dot.gov,523-697-3526,0,1
TBTJKN77A74W383V,Jilly,Klazenga,Chinook,5,68854,JE,1985-09-20,jklazenga5c@dyndns.org,688-942-0903,1,1
TCCKEV65E14N461I,Isac,Pimerick,Fordem,131,36016,GE,1982-02-11,ipimerick88@noaa.gov,156-780-4811,0,1
TCSERT60R38S122U,Ashla,Domini,Gerald,75,50809,FA,1999-09-23,adomini61@ftc.gov,949-657-7038,0,0
TEBXPV51K12D255F,Taylor,Cratere,Canary,138,89380,AR,1962-03-10,tcratereec@sbwire.com,272-977-4983,1,1
TGPQYF93T65B683P,Dare,Jorger,"Twin Pines",81,69242,VJ,1987-12-05,djorgerb8@wp.com,549-151-8519,1,1
TGRIYF80D92M190B,Raimundo,Reddish,Hayes,158,74358,JA,1984-08-07,rreddish8g@walmart.com,256-430-7226,0,0
THCWHR18P38J711N,Wolf,Antoinet,Cherokee,114,76672,ML,1974-10-13,wantoinethp@disqus.com,877-687-0951,1,1
THEAEP65A23F793J,Emmott,Lafflina,Moose,33,43737,VS,1970-12-03,elafflinadz@pbs.org,984-206-5676,0,1
TIIEGQ69P24E773D,Quinn,Rentz,Bashford,197,51299,YA,1974-11-06,qrentzfe@army.mil,144-363-3202,0,1
TIXXUP92K11F878S,Reid,MacElroy,2nd,11,95379,EE,1964-01-10,rmacelroye8@vk.com,667-914-3273,1,1
TKLIFJ20R39A850O,Kari,Teague,Loomis,120,39770,EN,1969-11-01,kteaguefa@acquirethisname.com,508-945-4117,0,1
TMFZGP00H76G207L,Glenden,Seakes,"Golf Course",133,64403,XL,1993-05-09,gseakes4f@answers.com,730-130-5964,1,1
TMKVSM45P14O544K,Perrine,Thompsett,Welch,27,35683,AN,1975-10-14,pthompsettbv@businessweek.com,995-598-1158,1,1
TPTEOO62T90L401U,Glennie,Lummus,Hanson,196,19074,MS,1987-10-09,glummus8b@yolasite.com,497-834-0836,0,1
TQBHGN77Q28H260C,Tammy,Dibben,Fieldstone,169,59197,UO,1950-10-13,tdibbenai@berkeley.edu,758-382-7659,0,1
TQSUQI56J51H936A,Cathi,Grennan,Hoard,154,11020,VJ,1978-01-10,cgrennanf8@last.fm,593-675-4570,1,0
TSRKGH30F29B456Y,Iver,Chaffen,Tony,55,17318,WA,1989-10-25,ichaffen3m@zimbio.com,125-334-3906,0,0
TVGKHY74T19H161L,Waldo,Coy,8th,61,40957,YK,1971-05-09,wcoy7e@usnews.com,268-267-5351,0,1
TXORAQ70N57E598G,Kirby,Lucio,Reinke,2,41001,HV,1986-07-14,klucioe5@blogger.com,969-938-7446,0,0
TZDZUO48N96A083Y,Rebe,Nurse,"Lighthouse Bay",182,96435,XB,1967-12-13,rnurse3u@sakura.ne.jp,773-803-3351,0,1
TZNDOK85N62Q686A,Alexis,Caulliere,Surrey,30,88317,FL,1973-04-23,acaullierea4@163.com,365-608-9906,0,0
UBKTSH57H33Z544W,Babbie,Rendall,Hayes,161,83839,IQ,1952-11-04,brendall8c@g.co,436-159-8645,1,1
UCTREZ61S22Y822H,Mathe,Daouze,Debra,158,81967,WU,1998-03-03,mdaouzed1@soup.io,929-427-1685,0,0
UDWYBO16I92G049S,Selena,Freathy,Anniversary,164,88521,QZ,1980-02-17,sfreathyei@istockphoto.com,287-987-5089,0,0
UEMCRZ95T82X073H,Kailey,Gunbie,Kings,147,93230,KX,1985-03-28,kgunbieek@naver.com,814-473-3314,0,0
UGDUNQ34W70P908J,Farrel,Frigot,Vernon,87,84360,OH,1967-12-15,ffrigot3k@unesco.org,630-437-4240,1,1
UHWBQW34F60S559Y,Glenn,Harraway,Mendota,128,04068,TI,1980-10-27,gharrawaydf@independent.co.uk,644-766-3713,0,1
UKBQOD31X04K086S,Bobinette,Stanlack,Orin,43,74730,PM,1957-11-22,bstanlackhq@domainmarket.com,242-379-2307,1,0
UKCJHL22E79A559M,Esther,Woodruffe,School,138,11580,YM,1952-02-24,ewoodruffefl@gnu.org,764-973-2909,0,1
UKCMWA66Q89L159N,Yurik,Evill,Washington,77,18532,QN,1996-05-22,yevillbw@wordpress.com,433-361-8606,0,0
UKOHGL66F67X078I,Piotr,Arundale,Canary,49,01639,DJ,1974-07-27,parundalecv@sina.com.cn,225-582-6998,1,1
ULZOOK13E53Z846G,Jocelyne,Heffy,Becker,159,57725,UY,1993-03-14,jheffy7h@list-manage.com,523-429-2403,0,1
UMGHTD55F43V728K,Ulrich,Cockrem,Superior,34,60629,UK,1970-06-10,ucockrem3z@cnbc.com,502-840-7866,1,1
UMOFLD97Z40G646N,Brew,Cursey,Oriole,79,92396,GA,1958-12-14,bcursey5t@weather.com,736-546-6577,1,1
UNDOAO64D63B838T,Boyce,Yatman,"Old Gate",53,07233,AJ,1994-06-06,byatman18@issuu.com,908-519-4384,1,1
UNSGHX85O74C099G,Regine,Gillford,Summit,108,52655,LY,1968-07-25,rgillford70@prlog.org,836-697-3785,0,1
UPCCLC08O59Q309O,Thadeus,Moxham,Westport,102,59847,LL,1995-12-02,tmoxhamct@ucoz.ru,987-426-0012,1,0
UQPRYP09U80P961F,Stephine,Markwelley,Dorton,15,69758,YK,1988-08-08,smarkwelley76@shareasale.com,380-250-6995,0,0
UQQGFB12B54V253X,Flory,Larwell,Logan,124,27945,VS,1977-05-19,flarwell3f@ucla.edu,755-391-1869,0,1
UUVBMG16W43Q531U,Ermengarde,Backs,Delladonna,3,16401,KS,1976-05-13,ebacksr@prnewswire.com,684-723-9460,0,0
UWFWLI77H28J118D,Arlen,Lyon,Green,106,51352,KE,1993-02-24,alyondr@oaic.gov.au,981-132-7218,0,0
UWTSXM29L21A132Y,Jenica,Franiak,Tennessee,68,89130,XS,1996-08-21,jfraniak1s@theglobeandmail.com,318-957-4547,1,1
UXYFGA97P51G518P,Remy,Weiser,American,141,60912,VF,1991-04-11,rweiserhx@rambler.ru,576-781-1384,0,0
UYJRHK61I69Y043U,Brander,Probbin,"Fair Oaks",127,94251,DA,1963-09-08,bprobbin2o@flickr.com,382-860-8862,1,0
VANPNJ43L91G706Q,Danielle,Hacon,Dexter,48,89650,ZW,1959-02-21,dhacon3g@1688.com,859-602-6309,0,0
VAZJSE96H09D817P,Lauritz,Feaviour,Annamark,12,27066,KG,1987-01-29,lfeaviourd8@elegantthemes.com,728-884-8154,1,1
VBTUXJ91X58P755I,Betteanne,Pitkin,Gale,117,28992,HD,1967-04-10,bpitkinf7@nsw.gov.au,211-499-4678,1,0
VCEJHY54X30N628U,Clarisse,Moyse,Utah,169,34196,ZK,1981-10-17,cmoysehw@jimdo.com,443-942-2098,1,0
VCTACE56Y22B363A,Glenna,Carden,7th,200,72289,VQ,1974-05-11,gcarden1p@xrea.com,463-960-2921,1,1
VCYHUB29G15M086A,Izaak,Cribbins,Shoshone,18,74054,PO,1979-10-17,icribbinsh@geocities.jp,152-895-4120,1,0
VEFDKC02S92A720V,Forester,McGaraghan,Towne,31,96348,QQ,1970-06-15,fmcgaraghan6k@webnode.com,914-646-1331,0,1
VEQHRA46A40O587I,Hermia,Dumini,Fieldstone,181,05984,QS,1976-02-13,hdumini5p@tripod.com,447-935-1408,0,1
VFKLYA00R60C808E,Celinka,Mollindinia,Sage,29,00619,OI,1952-03-05,cmollindinia1w@ibm.com,158-435-5727,0,0
VFLJCM21O76Y799O,Lester,Weagener,Ruskin,111,75520,LL,1990-12-31,lweagener75@youtu.be,241-717-3735,0,1
VGUCWL54F08D921S,Rivi,Thorby,Anderson,10,64313,NL,1999-12-21,rthorby5d@indiegogo.com,948-461-4796,0,1
VHXZZO73T52A529F,Ulrika,Mungane,Canary,9,88015,SH,1955-07-07,umungane94@icio.us,538-263-2343,1,1
VIKBBV10M07P859J,Lindsay,Luebbert,"Forest Dale",165,72277,KH,1953-08-07,lluebbert8v@bizjournals.com,896-227-0778,0,1
VJSQXL82P48Q103R,Nial,Rosoni,"Lake View",199,80360,CO,1985-07-20,nrosonifm@i2i.jp,497-188-2580,0,1
VKYFKX89T44T765R,Nelia,Singyard,Karstens,65,70862,OQ,1993-09-26,nsingyard8f@google.nl,787-797-4627,1,1
VLSJLZ43W81V022X,Monica,Dunn,Lukken,29,36721,IR,1980-05-16,mdunncl@so-net.ne.jp,731-912-5768,1,0
VMLJQW32P83W006M,Brenn,Tonna,Vermont,197,66249,ZB,1971-11-01,btonnag5@guardian.co.uk,540-443-4587,1,0
VMRFFE01X17L947X,Ariadne,Bere,"American Ash",69,22851,TB,1959-06-19,abere46@alibaba.com,861-284-8133,0,0
VOVBZB27E27D650G,Berky,Northing,Loomis,19,85135,JA,1984-12-04,bnorthing7o@smh.com.au,543-109-6445,0,1
VQPIKP86D50W608G,Juan,Zanazzi,Hooker,128,30885,XC,1995-07-23,jzanazzi9z@php.net,961-657-4679,0,1
VUFUCW54H04Z635I,Frasquito,Durham,Monument,110,23133,YF,1979-04-01,fdurham8@blogger.com,538-532-7651,0,0
VURFOL23O47P215H,Camila,Boggas,"Ronald Regan",198,55238,RK,1964-11-18,cboggasl@cbc.ca,914-246-4018,1,0
VUXPQA60J61Z542J,Parke,Lydall,Sloan,194,22496,BT,1994-07-10,plydall9g@fda.gov,831-709-0309,0,1
VWPIGM28R26Y588N,Gabi,Strange,"Green Ridge",92,06387,WT,1981-06-01,gstrangefx@dmoz.org,584-128-2714,0,0
VWVVFW91G64C098G,Thaddeus,Simes,Mccormick,58,61162,QM,1998-01-14,tsimesb1@marriott.com,390-108-9254,1,0
VXLGLW19Y11S203F,Kynthia,Craster,Chinook,57,62837,WV,1976-06-03,kcrasterg7@weibo.com,234-327-0367,0,1
VXRUHF43R55K468G,Mohammed,Bowling,"Del Mar",49,04523,VB,1970-09-06,mbowling3v@twitpic.com,835-482-3702,0,0
WCVBES61W63P495Q,Rob,Bogey,Steensland,58,33176,XE,1991-01-17,rbogeyt@berkeley.edu,169-565-9517,0,1
WDCWSV95I82L856W,Sanford,Airlie,Ruskin,36,60726,TK,1969-10-25,sairliecq@quantcast.com,238-500-8399,0,1
WEWUCC84A08P226O,Korie,Kemwall,Hayes,46,42986,AD,1980-11-11,kkemwallj@dropbox.com,302-380-0192,0,1
WGNCIN69D18K665W,Lionel,Savell,Macpherson,153,96695,DB,1991-05-20,lsavellay@linkedin.com,868-661-4096,1,0
WHEJPJ11X77R108F,Shurwood,Mournian,Bay,145,92724,EB,1984-03-12,smournian7u@wsj.com,732-818-0853,0,0
WJAMLK87O94O580E,Patrick,Janczyk,Bartelt,82,60053,XF,1987-04-25,pjanczyk8u@pagesperso-orange.fr,657-478-5781,0,0
WJYBEY36T30G643B,Gerti,Wilson,Bellgrove,14,87700,YL,1958-05-16,gwilsonhu@ustream.tv,500-497-5716,1,0
WJZSUU94M65H286M,Marin,Prandoni,School,99,53572,JB,1969-08-31,mprandonia2@wikimedia.org,894-522-4613,0,0
WKMBYQ10T52O496D,Gibb,Meachem,Butterfield,46,95905,AY,1966-06-27,gmeachemhr@bloglovin.com,360-964-3068,0,0
WKNHLB74D76A966H,Marquita,Saward,Northview,90,13494,LH,1986-07-25,msaward58@wufoo.com,259-779-0663,1,0
WNKCWP89Q19P287B,Larissa,Boswood,8th,154,13556,SJ,1962-02-11,lboswooddx@mapquest.com,207-852-4814,1,0
WNWRCY32P99H912J,Les,Feaviour,Jenifer,188,81729,GB,1966-02-18,lfeaviourk@harvard.edu,687-115-2274,1,1
WQCTUM54B14A981H,Cathryn,Klaggeman,Corscot,135,33351,AC,1983-08-13,cklaggeman6p@e-recht24.de,940-601-3913,1,1
WQRELD06J79E506B,Berky,Dubber,Bellgrove,142,36401,ZL,1953-02-19,bdubber8n@spiegel.de,810-740-8694,0,0
WRORPX25A70Q783C,Euphemia,Erwin,Canary,96,31618,EI,1953-01-27,eerwinb5@bigcartel.com,151-371-9400,1,0
WRRDBK28N46Z291X,Winne,Goldston,Heath,105,94222,DD,1953-12-14,wgoldston80@google.com.br,362-342-1773,1,0
WSMNDX70X97T930O,Annissa,Finlater,6th,150,81822,VU,1952-01-06,afinlater9@yale.edu,919-744-9862,1,0
WTYTET78D52E919H,Arni,Stentiford,Atwood,189,20471,NT,1991-04-16,astentifordcr@facebook.com,502-194-9179,1,1
WVAVTQ14K11G229F,Hendrika,Haswell,"Prairie Rose",196,49252,CF,1976-08-04,hhaswell8w@bizjournals.com,473-794-4749,1,0
WVJGKB82T57E302J,Ebenezer,Longland,Annamark,153,01126,PF,1956-03-13,elonglandc2@so-net.ne.jp,152-786-3466,1,1
WWZSIH56C19L763L,Dayna,Owtram,Melrose,165,00919,IZ,1961-11-09,dowtrambu@nasa.gov,151-260-8316,0,0
WYXPHW89A87V093V,Gussie,Newlove,Lien,158,88176,II,1998-05-11,gnewlovee7@state.gov,420-970-1556,1,0
WZIIJL35R51D592O,Lelah,Sutheran,Becker,108,61712,HP,1958-06-20,lsutheraner@reddit.com,398-318-0583,0,1
XALXDU25D36T806S,Niles,Knowles,Dayton,86,95192,PR,1965-12-07,nknowles5m@cnet.com,730-803-1189,1,1
XAURFY59M37W995X,Ev,Balasin,"Prairie Rose",31,61194,EV,1971-04-29,ebalasin65@wikipedia.org,937-641-7513,0,1
XBKCES70H74R678S,Hermina,Barnes,Hagan,129,58807,PQ,1994-08-16,hbarnesh4@unesco.org,312-349-2054,0,0
XCSPOO08S37S033K,Shirleen,Klimontovich,Lunder,134,06379,VD,1990-03-18,sklimontovichaz@flavors.me,967-447-0697,1,0
XCWSMO29K71N898E,Harv,Shewery,"Pepper Wood",31,72450,SO,1975-10-02,hshewery2g@tmall.com,751-723-9563,1,1
XECTRG85U40S078Q,Gilli,Talmadge,Cherokee,6,76223,YO,1951-10-13,gtalmadge7g@imgur.com,322-708-0397,1,0
XEQHBR01I54E276W,Myrtice,Spieght,Maryland,163,02419,CP,1954-08-06,mspieghtf@hibu.com,829-114-4656,0,0
XEVFED62P40M660T,Rubetta,Klugel,Dexter,31,82867,EG,1985-07-02,rklugel4n@ask.com,491-250-7144,1,1
XFHSMU31T62I522J,Norrie,Hartshorne,Stoughton,20,84860,AR,1994-03-02,nhartshornecw@godaddy.com,417-473-8556,0,1
XGQUWL98A04N888V,Elicia,Slaten,Stang,44,13514,CT,1996-11-08,eslatencz@altervista.org,445-651-2378,1,0
XHKOVB62I60E869Q,Adriane,Reiner,Fordem,82,41618,BJ,1984-05-11,areiner98@thetimes.co.uk,638-922-7016,1,1
XHLZXY13O72S493P,Alphonse,Gillio,Parkside,11,78994,EN,1990-06-18,agillioe2@photobucket.com,709-699-1902,1,0
XJSFWS35Z58V201Q,Delmor,Battell,Nobel,145,61309,UO,1950-02-05,dbattellco@blogtalkradio.com,270-694-3225,1,1
XKMHVJ74R79E723T,Lanny,Maycock,Goodland,168,46359,QB,1963-06-19,lmaycock2r@imgur.com,683-625-3543,1,0
XKVOUV33Y04U830J,Xever,Petrovsky,Center,18,17628,FP,1958-01-21,xpetrovsky7l@mit.edu,150-766-5152,0,0
